Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
Additional Financing to the Sustainable Landscape Management Project,P176449,Eastern and Southern Africa,Active,Republic of Madagascar,"Project Implementation Unit-PADAP, MINISTER OF WATER, SANITATION AND HYGIENE, Ministry of Environment, Ecology and Forests, Ministry of Environment and Sustainable Development, Agriculture, Livestock and Fisheries, Ministry of Agriculture, Livestock and Fisheries, Ministry of Water, Sanitation and Hygiene, UGP PADAP",https://projects.worldbank.org/en/projects-operations/project-detail/P176449,2021-06-30T00:00:00Z,40000000,40000000,,Government of Madagascar- Ministry of Economy and Finance,
Central African Republic (CAR) Emergency Food Crisis Response Project,P176754,Western and Central Africa,Active,Central African Republic,Ministry of Agriculture and Rural Development,https://projects.worldbank.org/en/projects-operations/project-detail/P176754,2021-06-29T00:00:00Z,50000000,50000000,,Central African Republic (CAR),
Support to Land and Mining Management Strengthening Project,P169267,Western and Central Africa,Active,Burkina Faso,"Ministry of Economy, Finance, and Development (MINEFID), Ministry of Energy, Mines, and Quarries (MEMC)",https://projects.worldbank.org/en/projects-operations/project-detail/P169267,2021-06-29T00:00:00Z,150000000,150000000,,Burkina Faso,
Additional Financing to Agricultural and Livestock Transformation Project,P176418,Western and Central Africa,Active,Republic of Niger,"Ministry of Agriculture and Livestock, National Coordination Unit of the PIMELAN, Unite de mise en oeuvre du PGRCDU",https://projects.worldbank.org/en/projects-operations/project-detail/P176418,2021-06-28T00:00:00Z,39540000,39540000,,Ministry of Plan,
National Agriculture Development Program,P169021,Eastern and Southern Africa,Active,Democratic Republic of the Congo,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P169021,2021-06-25T00:00:00Z,520000000,520000000,"20,000,000",Democratic Republic of Congo,
Supplemental Financing to the Fiscal Reform and Resilience DPC Series,P176822,Latin America and Caribbean,Active,St. Vincent and the Grenadines,Ministry of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P176822,2021-06-25T00:00:00Z,0,0,,Ministry of Finance,
Northern Mozambique Rural Resilience Project,P174635,Eastern and Southern Africa,Active,Republic of Mozambique,"National Sustainable Development Fund (FNDS), BioFund, ProAzul",https://projects.worldbank.org/en/projects-operations/project-detail/P174635,2021-06-18T00:00:00Z,150000000,150000000,,Republic of Mozambique,
West Africa Coastal Areas Resilience Investment Project AF BN-TG,P176313,Western and Central Africa,Active,Western and Central Africa,"Sao Tome and Principe - Ministry of  Infrastructures and Natural Resources, Benin - Ministry of Living Environment and Sustainable Development, Mauritania - Ministry of Environment and Sustainable Development, West Africa Economic and Monetary Union, Senegal - Ministry of Environment and Sustainable Development, Togo - Ministry of Environment and Forestry Resources, International Union for Conservation of Nature",https://projects.worldbank.org/en/projects-operations/project-detail/P176313,2021-06-18T00:00:00Z,36000000,36000000,,"Mauritania - Ministry of Economic Affairs and Promotion of Productive Sectors, Togo - Ministry of Economy and Finance, Cote d'Ivoire - Ministry of Economy and Finances, Sao Tome and Principe - Ministry of Planning, Finance and Blue Economy, Senegal - Ministry of Finance, Benin - Ministry of Economy and Finance",
Integrated Dairy Productivity Improvement Project Additional Financing,P174318,Europe and Central Asia,Active,Kyrgyz Republic,"Ministry of Finance, Ministry of Agriculture, Water and Regional Development",https://projects.worldbank.org/en/projects-operations/project-detail/P174318,2021-06-18T00:00:00Z,17000000,17000000,,Ministry of Economy and Finance,
Strengthening Resilience of the Agriculture Sector Project,P175952,Europe and Central Asia,Active,Republic of Tajikistan,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P175952,2021-06-18T00:00:00Z,58000000,58000000,,Republic of Tajikistan,
Second Additional Financing for Philippine Rural Development Project,P169025,East Asia and Pacific,Active,Republic of the Philippines,"Department of Agriculture, DEPARTMENT OF AGRICULTURE",https://projects.worldbank.org/en/projects-operations/project-detail/P169025,2021-06-17T00:00:00Z,385442425,385442425,,Republic of the Philippines,
Community-Based Recovery and Stabilization Project for the Sahel,P173830,Western and Central Africa,Active,Western and Central Africa,"Burkina Faso - Ministry of Economy, Finance and Development, The States of Liptako-Gourma Integrated Development Authority, Republic of Niger - Cabinet of the Prime Minister (Executive Secretariat for the SDS Sahel Niger), Republic of Mali - Ministry of Economy and Finance",https://projects.worldbank.org/en/projects-operations/project-detail/P173830,2021-06-15T00:00:00Z,352500000,352500000,,"Republic of Mali, Burkina Faso, The States of Liptako-Gourma Integrated Development Authority, Republic of Niger",
Senegal Cadastre and Land Tenure Improvement Project,P172422,Western and Central Africa,Active,Republic of Senegal,PROCASEF Project Implementation Unit - Ministry of Finances and Budget,https://projects.worldbank.org/en/projects-operations/project-detail/P172422,2021-06-15T00:00:00Z,80000000,80000000,,Republic of Senegal,
Accelerating Reforms for an Inclusive and Resilient Recovery DPF,P175251,Eastern and Southern Africa,Closed,Republic of Kenya,The National Treasury,https://projects.worldbank.org/en/projects-operations/project-detail/P175251,2021-06-10T00:00:00Z,0,0,,The National Treasury,
Turkey Resilient Landscape Integration Project (TULIP),P172562,Europe and Central Asia,Active,Republic of Turkiye,"General Directorate of Highways (KGM), State Hydraulic Works (DSI), General Directorate of Forestry (OGM), General Directorate of Agricultural Reform (TRGM)",https://projects.worldbank.org/en/projects-operations/project-detail/P172562,2021-06-09T00:00:00Z,164597000,164597000,,Republic of Turkey,
Sustainable Rural Economy Program,P174002,Eastern and Southern Africa,Active,Republic of Mozambique,"National Sustainable Development Fund (FNDS), ProAzul Blue Economy Development Fund, BIOFUND",https://projects.worldbank.org/en/projects-operations/project-detail/P174002,2021-06-09T00:00:00Z,150000000,150000000,,Republic of Mozambique,
Emergency Locust Response Project,P174546,Eastern and Southern Africa,Active,Eastern and Southern Africa,"IGAD Climate Prediction and Application Center, South Sudan - Ministry of Agriculture and Food Security",https://projects.worldbank.org/en/projects-operations/project-detail/P174546,2021-06-08T00:00:00Z,53700000,53700000,,"Intergovernmental Authority on Development (IGAD), South Sudan - Ministry of Finance and Planning",
South Sudan Resilient Agricultural Livelihoods Project,P169120,Eastern and Southern Africa,Active,Republic of South Sudan,Ministry of Agriculture and Food Security,https://projects.worldbank.org/en/projects-operations/project-detail/P169120,2021-06-08T00:00:00Z,62500000,62500000,,Ministry of Finance and Planning,
Liberia: Rural Economic Transformation Project,P175263,Western and Central Africa,Active,Republic of Liberia,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P175263,2021-06-04T00:00:00Z,59000000,59000000,,Republic of Liberia,
Cote d'Ivoire Agri-Food Sector Development Project,P171613,Western and Central Africa,Active,Republic of Cote d'Ivoire,"Ministry of Commerce and Industry, Ministry of Animal Resources and Fisheries, Ministry of Agriculture and Rural Development",https://projects.worldbank.org/en/projects-operations/project-detail/P171613,2021-06-03T00:00:00Z,295375000,295375000,,Republic of Cote d'Ivoire,
"Guinea Natural Resources, Mining and Environmental Management Project",P168613,Western and Central Africa,Active,Republic of Guinea,"Ministry of Environment and Sustainable Development, Ministry of Mining and Geology",https://projects.worldbank.org/en/projects-operations/project-detail/P168613,2021-05-26T00:00:00Z,65000000,65000000,,Republic of Guinea,
"Resilience, Entrepreneurship and Livelihood Improvement Project",P175820,South Asia,Active,People's Republic of Bangladesh,Social Development Foundation,https://projects.worldbank.org/en/projects-operations/project-detail/P175820,2021-05-20T00:00:00Z,341000000,341000000,,People’s Republic of Bangladesh,
Yemen Food Security Response and Resilience Project,P176129,Middle East and North Africa,Active,Republic of Yemen,"Food and Agriculture Organization, World Food Programme, United Nations Development Programme",https://projects.worldbank.org/en/projects-operations/project-detail/P176129,2021-05-11T00:00:00Z,127000000,127000000,"27,000,000","Food and Agriculture Organization, World Food Programme, United Nations Development Programme",
Northern Crisis Recovery Project,P176157,Eastern and Southern Africa,Active,Republic of Mozambique,Ministry of Agriculture and Rural Development (MADER),https://projects.worldbank.org/en/projects-operations/project-detail/P176157,2021-04-27T00:00:00Z,100000000,100000000,,,
Regional Sahel Pastoralism Support Project II,P173197,Western and Central Africa,Active,Western and Central Africa,"Republic of Chad, Ministry of Livestock and Animal Production, Republic of Senegal, Ministry of Livestock and Animal Production, Islamic Republic of Mauritania, Ministry in charge of Livestock, Burkina Faso, Ministry of Animal Resources and Fisheries, CILSS Permanent Interstate Committee for Drought Control in the Sahel, Republic of Niger, Ministry in charge of Livestock, Republic of Mali, Ministry in charge of Livestock",https://projects.worldbank.org/en/projects-operations/project-detail/P173197,2021-03-30T00:00:00Z,460200000,460200000,,"Republic of Mali, Republic of Niger, Republic of Chad, CILSS Permanent Interstate Committee for Drought Control in the Sahel, Islamic Republic of Mauritania",
Ghana Productive Safety Net Project 2,P175588,Western and Central Africa,Active,Republic of Ghana,"Ministry of Local Government, Decentralization and Rural Development (MLGDRD), Ministry of Gender Children and Social Protection (MoGCSP)",https://projects.worldbank.org/en/projects-operations/project-detail/P175588,2021-03-30T00:00:00Z,257000000,257000000,,"Republic of Ghana, Ministry of Finance",
Fiji Recovery and Resilience First Development Policy Operation with a Catastrophe-Deferred Drawdown Option,P173558,East Asia and Pacific,Active,Republic of Fiji,"Ministry of Economy, Ministry of Commerce, Trade, Tourism and Transport",https://projects.worldbank.org/en/projects-operations/project-detail/P173558,2021-03-25T00:00:00Z,0,0,,Republic of Fiji,
China Food Safety Improvement Project,P162178,East Asia and Pacific,Active,People's Republic of China,"State Administration for Market Regulation, Ministry of Agriculture and Rural Affairs, Yantai Municipal Ocean Development and Fishery Bureau, Guangdong Provincial Department of Agriculture and Rural Affairs",https://projects.worldbank.org/en/projects-operations/project-detail/P162178,2021-03-25T00:00:00Z,735000000,735000000,,People's Republic of China,B
Climate-Smart Agriculture and Water Management Project,P161534,South Asia,Active,People's Republic of Bangladesh,"Department of Fisheries, Department of Agricultural Extension, Bangladesh Water Development Board",https://projects.worldbank.org/en/projects-operations/project-detail/P161534,2021-03-09T00:00:00Z,155310000,155310000,,People's Republic of Bangladesh,B
Lao Landscapes and Livelihoods Project,P170559,East Asia and Pacific,Active,Lao People's Democratic Republic,Ministry of Agriculture and Forestry,https://projects.worldbank.org/en/projects-operations/project-detail/P170559,2021-02-23T00:00:00Z,57366976,57366976,"16,000,000",Lao People's Democratic Republic,
Nicaragua-Hurricanes Eta and Iota Emergency Response Project,P175878,Latin America and Caribbean,Active,Republic of Nicaragua,"United Nations Office for Project Services (UNOPS), Ministry of Finance and Public Credit (Ministerio de Hacienda y Credito Publico (MHCP)",https://projects.worldbank.org/en/projects-operations/project-detail/P175878,2021-01-22T00:00:00Z,80000000,80000000,,Republic of Nicaragua,
Responding to COVID-19: Modern and Resilient Agri-food Value Chains,P173480,Latin America and Caribbean,Active,Republic of Guatemala,Ministry of Economy Guatemala (MINECO),https://projects.worldbank.org/en/projects-operations/project-detail/P173480,2021-01-08T00:00:00Z,179000000,179000000,"11,330,000",Ministry of Finance Guatemala (MINFIN),
